VCP Code,VCP Code Name,Read-Write,Current Value,Maximum Value,Possible Values
02,New Control Value,Read+Write,2,255,
04,Restore Factory Defaults,Write Only,,1,
05,Restore Factory Luminance/ Contrast,Write Only,,1,
08,Restore Factory Color Defaults,Write Only,,1,
10,Brightness,Read+Write,50,100,
12,Contrast,Read+Write,75,100,
14,Select Color Preset,Read+Write,12,12,
16,Video Gain (Drive): Red,Read+Write,100,100,
18,Video Gain (Drive): Green,Read+Write,100,100,
1A,Video Gain (Drive): Blue,Read+Write,100,100,
52,Active Control,Read Only,242,,
60,Input Select,Read+Write,15,18,
62,Audio: Speaker Volume,Read+Write,50,100,
AC,Horizontal Frequency,Read Only,23264,,
AE,Vertical Frequency,Read Only,6000,,
B2,Flat Panel Sub-Pixel Layout,Read Only,1,,
B6,Display Technology Type,Read Only,3,,
C6,Application Enable Key,Read Only,17868,,
C8,Display Controller ID,Read+Write,5897,39,
C9,Display Firmware Level,Read Only,16646,,
CA,OSD,Read+Write,2,2,
CC,OSD Language,Read+Write,2,13,
D6,Power Mode,Read+Write,1,5,
DC,Display Application,Read+Write,0,5,
DF,VCP Version,Read Only,513,,
E0,Manufacturer Specific,,0,1,
E1,Manufacturer Specific,,0,1,
E2,Manufacturer Specific,,39,255,
E3,Manufacturer Specific,,0,65535,
E5,Manufacturer Specific,,0,255,
E8,Manufacturer Specific,,17,65535,
E9,Manufacturer Specific,,0,255,
EC,Manufacturer Specific,,3840,3846,
ED,Manufacturer Specific,,0,65535,
F0,Manufacturer Specific,,52,255,
F1,Manufacturer Specific,,32794,65535,
F2,Manufacturer Specific,,64,255,
F4,Manufacturer Specific,,65535,65535,
FD,Manufacturer Specific,,98,255,
